layer,separation,magnitude
1,0.2578125,5.62890625
2,0.00048828125,279.25
3,0.00146484375,521.5
4,0.00146484375,530.0
5,0.00048828125,534.5
6,0.0,541.0
7,0.00048828125,540.5
8,0.0,540.0
9,0.0009765625,540.5
10,0.0,541.0
11,0.0009765625,541.5
12,0.00048828125,541.0
13,0.0,540.0
14,0.0,540.5
15,0.00048828125,540.0
16,0.0,541.0
17,0.0,540.5
18,0.0,540.5
19,0.00048828125,540.5
20,0.0,540.0
21,0.0,539.5
22,0.0,538.0
23,0.00048828125,537.5
24,0.0009765625,536.5
25,0.0,534.5
26,0.0,533.0
27,0.02392578125,54.09375
28,0.0107421875,30.15625
